File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
ForrestGame.java,105 (100.0%),63,60.0%,21,20.0%,21,20.0%
Game.java,56 (34.8%),21,37.5%,28,50.0%,7,12.5%
Entity.java,65 (28.8%),21,32.3%,34,52.3%,10,15.4%
Player.java,263 (53.8%),204,77.6%,27,10.3%,32,12.2%
StatTracker.java,106 (17.8%),70,66.0%,21,19.8%,15,14.2%
TextRenderer.java,92 (13.4%),61,66.3%,18,19.6%,13,14.1%
TextureRenderer.java,185 (21.2%),135,73.0%,24,13.0%,26,14.1%
Shader.java,133 (13.2%),95,71.4%,18,13.5%,20,15.0%
PngTexture.java,162 (13.9%),119,73.5%,18,11.1%,25,15.4%
Texture.java,41 (3.4%),13,31.7%,18,43.9%,10,24.4%
Textures.java,76 (5.9%),48,63.2%,21,27.6%,7,9.2%
FloorTile.java,32 (2.4%),11,34.4%,18,56.3%,3,9.4%
RockTile.java,36 (2.7%),14,38.9%,18,50.0%,4,11.1%
Tile.java,79 (5.5%),39,49.4%,30,38.0%,10,12.7%
BushItem.java,87 (5.7%),58,66.7%,18,20.7%,11,12.6%
Item.java,36 (2.3%),13,36.1%,17,47.2%,6,16.7%
MushroomItem.java,69 (4.3%),41,59.4%,18,26.1%,10,14.5%
SignItem.java,70 (4.1%),41,58.6%,19,27.1%,10,14.3%
TreeItem.java,62 (3.5%),35,56.5%,18,29.0%,9,14.5%
Coordinate.java,118 (6.3%),74,62.7%,22,18.6%,22,18.6%
Direction.java,26 (1.4%),6,23.1%,18,69.2%,2,7.7%
KeyInput.java,42 (2.2%),13,31.0%,25,59.5%,4,9.5%
Pair.java,33 (1.7%),27,81.8%,0,0.0%,6,18.2%
ShortPathFinder.java,213 (9.7%),133,62.4%,44,20.7%,36,16.9%
SortedList.java,68 (3.0%),36,52.9%,23,33.8%,9,13.2%
Tickable.java,31 (1.4%),5,16.1%,24,77.4%,2,6.5%
PlayerWorld.java,316 (12.1%),257,81.3%,26,8.2%,33,10.4%
TimeTracker.java,89 (3.3%),58,65.2%,18,20.2%,13,14.6%
World.java,76 (2.7%),29,38.2%,35,46.1%,12,15.8%
Total,2767,1740,0.6,639,0.2,388,0.1
